18117,123,Maria Silva,1º Ano,ETIM INFOWEB,(19)994425961,maria.silva@etec.sp.gov.br,Maria Silva,(19)994425961,maria.silva@gmail.com
18118,123,Leonor Santos,1º Ano,ETIM INFOWEB,(19)994425962,leonor.santos@etec.sp.gov.br,Leonor Santos,(19)994425962,leonor.santos@gmail.com
18119,123,Matilde Ferreira,1º Ano,ETIM INFOWEB,(19)994425963,matilde.ferreira@etec.sp.gov.br,Matilde Ferreira,(19)994425963,matilde.ferreira@outlook.com
18120,123,Beatriz Pereira,1º Ano,ETIM ADMNISTRAÇÃO,(19)994425964,beatriz.pereira@etec.sp.gov.br,Beatriz Pereira,(19)994425964,beatriz.pereira@outlook.com
18121,123,Ana Oliveira,1º Ano,ETIM ADMNISTRAÇÃO,(19)994425965,ana.oliveira@etec.sp.gov.br,Ana Oliveira,(19)994425965,ana.oliveira@hotmail.com
18122,123,Mariana Costa,2º Ano,ETIM ADMNISTRAÇÃO,(19)994425966,mariana.rodrigues@etec.sp.gov.br,Mariana Costa,(19)994425966,mariana.rodrigues@yahoo.com
18123,123,Madalena Rodrigues,2º Ano,ETIM ADMNISTRAÇÃO,(19)994425967,madalena.rodrigues@etec.sp.gov.br,Madalena Rodrigues,(19)994425967,madalena.rodrigues@hotmail.com
18124,123,Catarina Rodrigues,2º Ano,ETIM INFOWEB,(19)994425968,catarina.rodrigues@etec.sp.gov.br,Catarina Rodrigues,(19)994425968,catarina.rodrigues@hotmail.com
18125,123,Carolina Rodrigues,2º Ano,ETIM INFOWEB,(19)994425969,carolina.rodrigues@etec.sp.gov.br,Carolina Rodrigues,(19)994425969,carolina.rodrigues@yahoo.com
18126,123,João Rodrigues,2º Ano,ETIM INFOWEB,(19)994425970,joao.rodrigues@etec.sp.gov.br,João Rodrigues,(19)994425970,joao.rodrigues@gmail.com
18127,123,Santiago Sousa,3º Ano,ETIM INFOWEB,(19)994425971,santiago.sousa@etec.sp.gov.br,Santiago Sousa,(19)994425971,santiago.sousa@gmail.com
18128,123,Martim Fernandes,3º Ano,ETIM INFOWEB,(19)994425972,martim.fernandes@etec.sp.gov.br,Martim Fernandes,(19)994425972,martim.fernandes@outlook.com
18129,123,Rodrigo Gonçalves,3º Ano,ETIM ADMNISTRAÇÃO,(19)994425973,rodrigo.goncalves@etec.sp.gov.br,Rodrigo Gonçalves,(19)994425973,rodrigo.goncalves@outlook.com
18130,123,Afonso Gomes,3º Ano,ETIM ADMNISTRAÇÃO,(19)994425974,afonso.gomes@etec.sp.gov.br,Afonso Gomes,(19)994425974,afonso.gomes@gmail.com
18131,123,Francisco Lopes,3º Ano,ETIM ADMNISTRAÇÃO,(19)994425975,francisco.lopes@etec.sp.gov.br,Francisco Lopes,(19)994425975,francisco.lopes@yahoo.com
18132,123,Tiago Marques,1º Ano,ETIM ADMNISTRAÇÃO,(19)994425976,tiago.marques@etec.sp.gov.br,Tiago Marques,(19)994425976,tiago.marques@yahoo.com
18139,123,Diogo Alves,1º Ano,ETIM INFOWEB,(19)994425977,maria.silva@etec.sp.gov.br,Diogo Alves,(19)994425977,maria.silva@hotmail.com
18132,123,Miguel Almeida,1º Ano,ETIM INFOWEB,(19)994425978,miguel.almeida@etec.sp.gov.br,Miguel Almeida,(19)994425978,miguel.almeida@hotmail.com
18133,123,Tomás Pinto,2º Ano,ETIM INFOWEB,(19)994425979,tomás.pinto@etec.sp.gov.br,Tomás Pinto,(19)994425979,tomás.pinto@gmail.com
18134,123,Beatriz Carvalho,2º Ano,ETIM ADMNISTRAÇÃO,(19)994425980,beatriz.carvalho@etec.sp.gov.br,Beatriz Carvalho,(19)994425980,beatriz.carvalho@outlook.com
18135,123,Ana Teixeira,2º Ano,ETIM ADMNISTRAÇÃO,(19)994425981,ana.teixeira@etec.sp.gov.br,Ana Teixeira,(19)994425981,ana.teixeira@yahoo.com
18136,123,Mariana Gomes,2º Ano,ETIM ADMNISTRAÇÃO,(19)994425982,mariana.gomes@etec.sp.gov.br,Mariana Gomes,(19)994425982,mariana.gomes@hotmail.com
